loan_uuid,account_number,account_type,account_status,product_id,entity_uuid,relationship_type_id,open_date,interest_rate,billing_cycle_day,term_in_months,original_amount,currency,collateral_description
c84fefd9-2c63-4a82-9e2b-1278e8c82af3,LCC00000001,mortgage,active,6c93de3e-f8a0-4e0a-b88b-3137fddee73e,ad485c18-0729-42cd-9728-34bbd26c78cd,70f9559f-a9f6-4a70-a07a-46128ac9688b,2020-12-16T00:00:00Z,5.79,8,180,285837.89,usd,Single family residence 338 Murphy Plaza
4e0755aa-0497-4bda-8014-468a3f3a1afb,LCC00000002,personal,active,4bec2f95-d366-4aca-a4af-db9194ec67cd,b269b4a3-3872-4bb6-affc-a558049901ff,3fbeb48e-9a4e-4e91-bc2b-355716df0615,2023-07-26T00:00:00Z,8.51,6,24,28163.54,usd,
78433b5b-9400-4f67-a700-6e97f94d3611,LCC00000003,personal,closed,122af56c-5e8e-42cb-9d82-d2f6a490a696,cf4aa9e4-32cf-40b8-81e2-656829fa1f48,732051e2-f56f-4e82-8fd9-47e52c18ed08,2021-12-10T00:00:00Z,13.64,5,48,11465.18,usd,Townhouse 3615 Williams Cape
afb2146d-8f60-4e6e-8b62-efcfea390485,LCC00000004,personal,active,0c0a9996-4cbd-4c75-b3a6-85a424851bf2,3a13630e-a45b-4bb1-be86-571d5f89bb95,ecffab83-759a-46ac-9dcd-1d5f1b143e31,2023-04-05T00:00:00Z,9.26,11,36,24794.14,usd,
2396d28f-4375-48cf-aeaf-16fa83e326a1,LCC00000005,personal,active,dc7a814b-7b10-4828-80b2-2110e176f7e6,4197ada1-aa20-43b9-bfde-a3bfaacf52e5,1e8e5537-9c12-466e-8732-04e5f07057a1,2022-09-07T00:00:00Z,9.01,11,36,10393.93,usd,Single family residence 2526 Long Branch
a5e9f346-a4ca-4791-b2e2-553e02b14633,LCC00000006,personal,active,8507636a-8321-4dee-9f46-0258fef15a98,f3dcce90-dcb6-4d0d-894f-88352bc635d4,731c97dd-2da4-407b-af8c-aadb9fe14ffb,2024-06-13T00:00:00Z,12.1,26,36,7863.83,usd,
2d770ed2-3b3a-4e71-b13b-09bf43743959,LCC00000007,auto,active,3e3b1ca4-b8b3-4881-a564-989e770964ea,526dc587-b1c9-4812-be70-359038f2cb49,f1a6375b-221d-4802-970a-bee6f9adb273,2023-01-23T00:00:00Z,8.65,11,60,49403.5,usd,2021 Chevrolet CX-5 VIN 9PRTCPL8KAM6RPKCP
c13900c8-ed63-4222-8af9-b41e27b67acb,LCC00000008,recreational,active,93bbe3d8-dd58-4104-8a12-9e831a121a3b,b04591b3-a28f-43af-8c08-6737802ee18c,a2f7e5f1-6252-4328-846e-4306c73ec11f,2020-11-19T00:00:00Z,12.82,26,36,11164.7,usd,2020 Mazda CX-5 VIN P2N3S5TL1WAFVCVY6
dbff6640-7ab4-4387-b2f6-e9bd41bf224e,LCC00000009,personal,active,3d7d46f6-88e3-4a90-a9de-1507f8bffe4f,776c2386-6645-4dda-aba9-92ad636e98d7,9adb6b7f-404c-439c-bcfc-6bf35452884f,2022-02-06T00:00:00Z,12.96,9,48,29734.66,usd,
540e7f87-e456-4a36-b651-1ca6f4e86cc4,LCC00000010,auto,active,18e12f2f-158f-4365-8db9-6d0155702c1f,3d988b48-9974-4fe6-813e-29e47ba79234,c5026992-81d8-41b7-bf91-e4ea7b42632b,2021-07-24T00:00:00Z,4.6,7,72,17006.85,usd,2020 Honda Camry VIN CYB23AHRSESXBE7BC
