uuid,memberid,name,DOB,street,building,pin,town,state,country,tax_id_masked,email,cell
ad485c18-0729-42cd-9728-34bbd26c78cd,CC00000001,Jesse Baker,1987-03-02,Ryan Branch,85875,97562,Virginia Beach,VA,US,XXX-XX-0001,kfranco@example.org,423.890.2844
b269b4a3-3872-4bb6-affc-a558049901ff,CC00000002,Kenneth Mclaughlin,1945-05-24,Castillo Circle,85629,50135,Newport News,VA,US,XXX-XX-0002,paige89@example.com,987-938-2337
cf4aa9e4-32cf-40b8-81e2-656829fa1f48,CC00000003,David Larson,2004-08-12,Richardson Spring,6807,37842,Virginia Beach,VA,US,XXX-XX-0003,clarkalejandro@example.net,+1-408-417-6
3a13630e-a45b-4bb1-be86-571d5f89bb95,CC00000004,Dylan Johnson,1981-08-21,Lopez Ranch,15181,66648,Virginia Beach,VA,US,XXX-XX-0004,brandonhoffman@example.com,(562)599-326
4197ada1-aa20-43b9-bfde-a3bfaacf52e5,CC00000005,Amber Alvarez,1970-08-29,Tanya Ports,38065,39311,Virginia Beach,VA,US,XXX-XX-0005,amanda81@example.org,001-855-761-
f3dcce90-dcb6-4d0d-894f-88352bc635d4,CC00000006,Leslie Mckenzie,2007-01-04,Daniels Hill,438,87068,Newport News,VA,US,XXX-XX-0006,raymond62@example.net,892.787.2362
526dc587-b1c9-4812-be70-359038f2cb49,CC00000007,Gregory Stuart,1944-11-10,Amy Motorway,9873,09111,Norfolk,VA,US,XXX-XX-0007,walterskimberly@example.org,001-652-848-
b04591b3-a28f-43af-8c08-6737802ee18c,CC00000008,Mia Morgan,1985-05-03,Mark Port,89761,38671,Newport News,VA,US,XXX-XX-0008,donnamiller@example.net,6162501207
776c2386-6645-4dda-aba9-92ad636e98d7,CC00000009,Kathryn Kelley,1974-01-25,Ellen Tunnel,0501,46114,Virginia Beach,VA,US,XXX-XX-0009,hdunlap@example.org,8998862017
3d988b48-9974-4fe6-813e-29e47ba79234,CC00000010,Adam Stevenson,1945-06-24,Gill Lake,14924,72904,Norfolk,VA,US,XXX-XX-0010,tdelgado@example.net,+1-336-531-5
151ccb56-908d-4def-94e0-83d59a220892,CC00000011,Samuel Hartman,1983-03-16,Jacob Inlet,86701,97637,Virginia Beach,VA,US,XXX-XX-0011,madeline66@example.org,(645)419-671
78850b2e-4056-478c-b53a-b881106c5086,CC00000012,Lauren Obrien,1962-03-04,Leslie Plaza,40007,87283,Norfolk,VA,US,XXX-XX-0012,jennifercoleman@example.org,541.719.0305
146f2aaf-86ab-4d9c-adf1-2d4d49b8ce9d,CC00000013,Carol Reese,1951-06-18,Adam Oval,84085,33321,Virginia Beach,VA,US,XXX-XX-0013,carlpowers@example.com,(455)416-015
62852097-4cee-487e-9628-87adaeb852ce,CC00000014,Andrew Spears,1966-12-15,Kristen Summit,997,42710,Norfolk,VA,US,XXX-XX-0014,fbryant@example.com,664-763-6227
89448101-ddc3-4f89-bc57-026bbddfccdf,CC00000015,Mary Lewis,1963-06-16,Eric Ways,58913,57651,Virginia Beach,VA,US,XXX-XX-0015,jessicaboyle@example.net,517.981.6635
7d1305da-ad7b-441c-b5f6-ba6d5a65c2ec,CC00000016,Angela Newton,1940-12-12,Julie Stravenue,737,51664,Newport News,VA,US,XXX-XX-0016,rmartinez@example.net,575-486-6768
b6909b97-b9e6-4a5a-be31-1401de10dfde,CC00000017,Nicholas Davis,1999-02-14,Kimberly Court,869,19650,Norfolk,VA,US,XXX-XX-0017,kgilmore@example.com,(435)647-696
21317dbb-02ea-4a53-b137-618c470a7b65,CC00000018,Troy Williams,1977-02-23,Davis Crossroad,4499,86782,Virginia Beach,VA,US,XXX-XX-0018,blake07@example.net,001-285-242-
b1a030f8-52e8-4d4e-90f9-2a990b0eac41,CC00000019,Shannon Brown,1968-06-12,Wu Expressway,095,77056,Newport News,VA,US,XXX-XX-0019,hallchristopher@example.org,265-984-9326
79d5c26a-4abb-47fe-9acc-f11a66fc424b,CC00000020,Lisa Herman,1971-07-09,Jackson Cliff,41687,44387,Newport News,VA,US,XXX-XX-0020,annahenry@example.net,(831)676-298
bdd55755-8962-4e80-b907-92928939bdb1,CC00000021,Melinda Calhoun,1963-04-02,Moore Isle,3004,97087,Norfolk,VA,US,XXX-XX-0021,bsanders@example.com,521.329.2530
ae456a46-5b88-4174-8f1a-0a3c1b89f8df,CC00000022,Maria Johnson,1978-02-02,Lewis Ville,875,03362,Newport News,VA,US,XXX-XX-0022,burnskathy@example.net,316.201.9554
8b82eb06-cf87-47f8-ae52-3ae8e8426dac,CC00000023,Deborah Simon,1950-01-19,Garrett Port,00136,37644,Norfolk,VA,US,XXX-XX-0023,mirandagray@example.net,+1-752-950-6
779ebb5f-73a7-441f-b58a-2f7ed3c06445,CC00000024,Stephanie Russell,1941-12-23,Michelle Fords,29180,58861,Virginia Beach,VA,US,XXX-XX-0024,patriciapatel@example.com,519.534.1545
3c77f33d-4699-42eb-8479-0341c7466db0,CC00000025,Kristin Watson,1961-03-10,Lauren Avenue,47991,05205,Newport News,VA,US,XXX-XX-0025,piercemolly@example.net,958-873-5117
94c83cbf-d2ae-4c5b-a70e-2572ec35e4cb,CC00000026,Kelly Henderson,1987-08-06,Brittany Street,946,10155,Norfolk,VA,US,XXX-XX-0026,darrellbrown@example.net,(488)606-613
e4038818-15b7-4f7e-898b-a7d6ad69ebdb,CC00000027,Angela Moyer,1991-07-07,Martinez Crescent,5522,15293,Norfolk,VA,US,XXX-XX-0027,keithortiz@example.com,001-759-218-
6f3b7951-b75f-4051-ad6d-f36d760150bc,CC00000028,Daniel Romero,1962-07-30,Daniel Square,7962,69881,Virginia Beach,VA,US,XXX-XX-0028,merrittrachel@example.com,967.907.0624
693e0bad-5dd7-414d-ace6-4e77e30c179f,CC00000029,Paul Jordan,1991-03-02,Daniel Hills,15633,86511,Newport News,VA,US,XXX-XX-0029,kimberly49@example.org,7452855250
e654b793-8aad-4354-932e-673f3afaef93,CC00000030,Dylan Munoz,1993-02-06,Hunt Crossroad,176,76951,Virginia Beach,VA,US,XXX-XX-0030,william79@example.org,+1-587-944-7
c8a6a361-474f-4d05-982b-3a83e729d256,CC00000031,Joseph Huff,1971-12-09,Courtney Drive,0040,20051,Newport News,VA,US,XXX-XX-0031,ilee@example.com,001-629-631-
406b62b7-26b1-4e85-898f-00bc169a636f,CC00000032,Sara Murray,1964-09-02,Curtis Falls,44484,29107,Newport News,VA,US,XXX-XX-0032,jessica08@example.net,(866)331-316
fc7296c7-15ab-4548-ad36-a529d7afe4e3,CC00000033,Bonnie Phillips,1964-07-05,James Locks,3025,04226,Virginia Beach,VA,US,XXX-XX-0033,danielburns@example.net,001-251-668-
a7f89402-0353-4860-abc6-ff5eef3f2b33,CC00000034,Shawn Burton,1982-05-03,Wilson Glen,5695,14812,Newport News,VA,US,XXX-XX-0034,greenjon@example.org,456.681.9095
53bdf2fc-5296-4bed-818d-ace70b02c06b,CC00000035,Rachel Bennett,1986-04-14,Gonzales Creek,296,96384,Virginia Beach,VA,US,XXX-XX-0035,brettgarcia@example.com,+1-381-633-9
f7168f21-2fa8-4e0d-82d6-ad83fad9607c,CC00000036,Christopher Barnett,1944-09-26,Warner Club,3962,00846,Norfolk,VA,US,XXX-XX-0036,phambobby@example.org,282-342-8448
ca6c7819-cdba-489f-90a1-dab5daea67ab,CC00000037,Mark Santos,2006-10-02,Tara Plains,26876,10136,Newport News,VA,US,XXX-XX-0037,michaelrobbins@example.com,+1-747-419-0
75195aaa-d256-4667-b7f2-aa75e35097d6,CC00000038,Valerie Hancock,1976-04-14,Emily Ford,177,56292,Virginia Beach,VA,US,XXX-XX-0038,ymontes@example.org,001-852-839-
e0effcb0-5679-4320-ade3-a8629475fd97,CC00000039,Linda Mason,1979-12-01,Mendoza Vista,323,04294,Newport News,VA,US,XXX-XX-0039,amandadawson@example.org,311.920.3211
131f59b9-4c8f-4151-a41e-e5e95948c495,CC00000040,Travis Willis,1940-03-13,Jeremy Crossroad,53950,63056,Newport News,VA,US,XXX-XX-0040,dillonjuan@example.com,(239)442-913
40c218a0-ca70-4b01-92bc-65c9189babcb,CC00000041,Brett Forbes,1964-03-03,Michael Dam,266,67272,Newport News,VA,US,XXX-XX-0041,julia25@example.com,587-567-4987
d2f571aa-bb47-4b46-9a18-eed0af612e84,CC00000042,Jose Sanchez,1975-12-06,Micheal Islands,2942,21379,Newport News,VA,US,XXX-XX-0042,castrojacob@example.org,(789)359-014
b332a135-425e-4fe6-8fb5-c58ca1e7486f,CC00000043,Adam Simpson,1984-05-06,Green Lodge,4630,94514,Newport News,VA,US,XXX-XX-0043,nicoleprice@example.net,(694)897-084
9aad8103-3c0f-442d-af81-59ec0d4f1d40,CC00000044,Briana Castillo,1976-10-24,Betty Park,92663,74065,Virginia Beach,VA,US,XXX-XX-0044,sandrafrye@example.net,386.931.8840
3c293948-2dc3-43f5-b6b4-04ec65b7870c,CC00000045,Tara Flynn,1985-08-16,Edwards Forges,9044,02128,Norfolk,VA,US,XXX-XX-0045,john28@example.net,+1-574-409-2
7039deb1-bbbc-49fb-a63a-f66de6f73502,CC00000046,Jeremy Lowery,2003-05-21,Hendrix Mountains,0965,15289,Norfolk,VA,US,XXX-XX-0046,tina09@example.net,829-561-3944
c63c2cfd-ee75-485c-8ffb-84f40f695e12,CC00000047,Carly Wallace,2006-07-08,Jerry Prairie,98507,19831,Newport News,VA,US,XXX-XX-0047,lhill@example.org,811-605-1688
83c22fcf-9905-4f2e-b4eb-b6b34cff8b50,CC00000048,Amanda Rodriguez,1982-01-12,Cervantes Highway,34515,31051,Newport News,VA,US,XXX-XX-0048,loringuyen@example.org,753.719.4141
